Wall time,Step,Value
1604486419.7113547,5,2103.500732421875
1604486420.0353584,6,1939.8651123046875
1604486421.4718795,10,1567.97412109375
1604486421.8218799,11,1438.7459716796875
1604486422.9511817,14,1024.1328125
1604486423.3101847,15,872.363525390625
1604486424.3649013,18,686.9059448242188
1604486424.7099001,19,681.0570068359375
1604486425.058909,20,691.0877075195312
1604486426.5579238,24,625.4705810546875
1604486430.0537865,33,460.4660339355469
1604486431.251296,36,462.2640075683594
1604486432.8618128,40,393.55401611328125
1604486433.6603832,42,370.1173400878906
1604486434.5684688,44,377.2511291503906
1604486435.0344722,45,329.5731506347656
1604486436.12047,47,284.50018310546875
1604486437.1510987,49,344.43310546875
1604486441.3709347,53,284.0263671875
1604486441.9289749,54,266.9593200683594
1604486442.4719732,55,332.6828918457031
1604486443.0159996,56,307.19903564453125
1604486443.5590065,57,333.8606872558594
1604486446.9288244,63,323.6341247558594
1604486448.0269618,65,295.5210876464844
1604486448.7360668,66,330.1615295410156
1604486449.3281388,67,293.16680908203125
1604486449.8091369,68,291.401123046875
1604486451.3351543,71,281.2640686035156
1604486451.811152,72,339.8353271484375
1604486452.2951517,73,278.654541015625
1604486452.7956862,74,302.0065002441406
1604486455.3367696,79,280.01165771484375
1604486457.9727716,84,290.944091796875
1604486459.565807,87,273.7950439453125
1604486460.0868068,88,282.66326904296875
1604486463.1768384,94,303.2293395996094
1604486469.6320455,102,299.7679138183594
1604486471.2780652,105,302.8892517089844
1604486471.867106,106,290.79132080078125
1604486475.9296522,113,265.84649658203125
1604486477.7527192,116,266.6994323730469
1604486478.9643247,118,302.9391784667969
1604486483.3313088,125,274.8475646972656
1604486483.9438453,126,294.9895324707031
1604486485.7736754,129,308.7070007324219
1604486486.3542223,130,310.7734680175781
1604486490.6688344,137,280.7334289550781
1604486491.9228754,139,261.704345703125
1604486493.329384,141,316.06866455078125
1604486493.976821,142,268.7594909667969
1604486494.7579024,143,319.72760009765625
1604486500.000011,150,304.3399658203125
1604486505.8912556,155,283.988037109375
1604486507.4838676,157,280.62322998046875
1604486508.2676296,158,292.62506103515625
1604486508.970729,159,261.1142578125
1604486511.3495498,162,286.5921325683594
1604486513.7125924,165,260.8628234863281
1604486515.428627,167,272.97186279296875
1604486516.2626245,168,301.20733642578125
1604486518.5907054,171,302.0057678222656
1604486523.4435215,177,284.22735595703125
1604486524.2545798,178,308.02862548828125
1604486525.9745817,180,281.70758056640625
