Wall time,Step,Value
1604492067.5069926,5,2106.734130859375
1604492067.9809842,6,2112.16064453125
1604492069.8795822,10,1870.75048828125
1604492070.35161,11,1804.3609619140625
1604492071.8257837,14,1703.499755859375
1604492072.324313,15,1674.593994140625
1604492073.8208313,18,1446.4345703125
1604492074.3224669,19,1413.7479248046875
1604492074.8124719,20,1358.533935546875
1604492076.8687205,24,1134.1651611328125
1604492081.8406134,33,818.2472534179688
1604492083.642453,36,763.0037841796875
1604492086.104647,40,740.4268188476562
1604492087.266647,42,712.08154296875
1604492088.4654083,44,745.0838012695312
1604492089.0584555,45,665.5597534179688
1604492090.2079594,47,720.7796020507812
1604492091.5101411,49,698.1171264648438
1604492095.9563477,53,658.9094848632812
1604492096.6524704,54,649.5678100585938
1604492097.311077,55,627.093505859375
1604492097.9178524,56,609.613037109375
1604492098.503253,57,632.1611938476562
1604492102.2954032,63,571.7562866210938
1604492103.582435,65,561.151611328125
1604492104.310692,66,552.4417724609375
1604492105.061515,67,526.3349609375
1604492105.8031235,68,554.304443359375
1604492107.6763744,71,485.9002685546875
1604492108.3533762,72,495.45123291015625
1604492108.974426,73,516.984619140625
1604492109.6563458,74,524.4130859375
1604492113.1218982,79,465.5589294433594
1604492116.5789135,84,455.95556640625
1604492118.6782556,87,452.5418701171875
1604492119.345257,88,416.40032958984375
1604492123.762995,94,416.2171325683594
1604492132.0669553,102,430.2314453125
1604492134.2815263,105,393.34716796875
1604492135.0184484,106,378.8443603515625
1604492140.4072511,113,393.280517578125
1604492142.8328485,116,366.5865478515625
1604492144.3699415,118,323.933837890625
1604492150.3454666,125,373.456787109375
1604492151.107925,126,335.76947021484375
1604492153.3457587,129,340.43939208984375
1604492154.1423116,130,333.06536865234375
1604492159.7578962,137,338.85284423828125
1604492161.2521298,139,308.1676330566406
1604492162.8176508,141,349.3427734375
1604492163.6153495,142,348.3139343261719
1604492164.449346,143,344.1038513183594
1604492170.045678,150,364.9880676269531
1604492176.6050763,155,317.93157958984375
1604492178.4675324,157,324.2812194824219
1604492179.3532476,158,323.407470703125
1604492180.2759094,159,328.510498046875
1604492182.7420979,162,348.7433166503906
1604492185.2981868,165,358.9816589355469
1604492187.214476,167,359.6480712890625
1604492188.171445,168,360.8348083496094
1604492190.8093672,171,315.8243408203125
1604492196.1990995,177,351.8978271484375
1604492197.0241354,178,308.84161376953125
1604492198.654289,180,343.6266784667969
1604492201.3221908,183,320.8562927246094
1604492203.2023048,185,313.4642333984375
1604492204.0920484,186,345.4068908691406
