Wall time,Step,Value
1604486417.9848087,0,0.8916666507720947
1604486439.7088983,50,0.5916666388511658
1604486468.3241222,100,0.6650000214576721
1604486502.1461065,150,0.6633333563804626
1604486548.3015149,200,0.4833333194255829
1604486599.4752436,250,0.24833333492279053
1604486655.522073,300,0.07999999821186066
1604486716.282406,350,0.01666666753590107
1604486786.3533137,400,0.009999999776482582
1604486854.1451557,450,0.009999999776482582
1604486927.4723701,500,0.011666666716337204
1604487012.7926104,550,0.008333333767950535
1604487093.7472405,600,0.009999999776482582
1604487181.5629628,650,0.0033333334140479565
1604487277.9239523,700,0.006666666828095913
1604487373.9214954,750,0.0033333334140479565
1604487474.4375253,800,0.0
1604487576.6318805,850,0.0016666667070239782
1604487694.0731044,900,0.0
1604487811.8086896,950,0.0033333334140479565
1604487941.3810203,1000,0.0033333334140479565
1604488055.9386897,1050,0.0016666667070239782
1604488164.6523287,1100,0.0016666667070239782
1604488277.30647,1150,0.0033333334140479565
1604488388.3306382,1200,0.0
1604488497.792353,1250,0.0033333334140479565
1604488626.716686,1300,0.0016666667070239782
1604488759.3306053,1350,0.004999999888241291
1604488886.2288358,1400,0.0033333334140479565
1604489018.5063899,1450,0.0016666667070239782
1604489155.9186869,1500,0.0016666667070239782
1604489320.7936525,1550,0.0016666667070239782
1604489472.8906903,1600,0.0
1604489610.1093612,1650,0.0033333334140479565
1604489743.653987,1700,0.0016666667070239782
1604489882.5552433,1750,0.0016666667070239782
1604490020.576794,1800,0.0
1604490159.029025,1850,0.0
1604490299.120334,1900,0.0016666667070239782
1604490440.8411942,1950,0.0
1604490584.9351177,2000,0.0016666667070239782
1604490727.0174797,2050,0.0
1604490873.175898,2100,0.0033333334140479565
1604491013.9402313,2150,0.0016666667070239782
1604491163.038493,2200,0.0016666667070239782
1604491311.924491,2250,0.0016666667070239782
1604491458.891187,2300,0.0016666667070239782
1604491605.201996,2350,0.0033333334140479565
1604491754.183797,2400,0.0
1604491905.2381532,2450,0.0
