Wall time,Step,Value
1604492065.176353,0,0.8966666460037231
1604492094.0932822,50,0.5683333277702332
1604492130.6687975,100,0.7183333039283752
1604492172.2618783,150,0.7433333396911621
1604492219.8156672,200,0.7333333492279053
1604492273.7915823,250,0.746666669845581
1604492328.9166832,300,0.7350000143051147
1604492391.385615,350,0.70333331823349
1604492459.9518826,400,0.6583333611488342
1604492533.9695585,450,0.5950000286102295
1604492608.7956173,500,0.5433333516120911
1604492688.2379038,550,0.4283333420753479
1604492780.287806,600,0.36500000953674316
1604492876.4514592,650,0.31833332777023315
1604492960.43851,700,0.20666666328907013
1604493047.1099944,750,0.15000000596046448
1604493142.6327732,800,0.09833333641290665
1604493236.275186,850,0.054999999701976776
1604493333.923911,900,0.036666665226221085
1604493433.6350353,950,0.011666666716337204
1604493535.7660003,1000,0.008333333767950535
1604493673.4075491,1050,0.004999999888241291
1604493955.059171,1100,0.0033333334140479565
1604494241.2140326,1150,0.0
1604494529.8642948,1200,0.006666666828095913
1604494823.305933,1250,0.0
1604495124.6238678,1300,0.0033333334140479565
1604495428.4593065,1350,0.0
1604495731.7862053,1400,0.0016666667070239782
1604496036.9859993,1450,0.0033333334140479565
1604496345.2621295,1500,0.0033333334140479565
1604496656.012026,1550,0.0
1604496968.535105,1600,0.0033333334140479565
1604497282.5095618,1650,0.0016666667070239782
1604497599.173815,1700,0.0016666667070239782
1604497916.5463073,1750,0.006666666828095913
1604498235.1784303,1800,0.0
1604498558.027832,1850,0.0
1604498882.958327,1900,0.0033333334140479565
1604499209.7100906,1950,0.0
1604499541.636774,2000,0.0
1604499874.2029755,2050,0.0016666667070239782
1604500204.00383,2100,0.0016666667070239782
1604500538.0845852,2150,0.0
1604500870.994095,2200,0.0
1604501205.5542102,2250,0.0016666667070239782
1604501543.332853,2300,0.0
1604501880.3806982,2350,0.0016666667070239782
1604502216.478756,2400,0.0
1604502554.194561,2450,0.0016666667070239782
